id,issue_type,complaint_text,area,votes,attachments,priority_label
36,Road Damage,road crack,Bokaro,40,2,Medium
37,Electricity Outage,Power cut in area,Jamshedpur,58,2,High
38,Garbage Dump,kachra bahut hai,Hazaribagh,68,1,High
39,Drainage Blockage,Drainage issue,Chaibasa,36,1,Medium
40,Pothole,Big pothole on road,Hazaribagh,85,4,High
41,Garbage Dump,Garbage not collected,Dhanbad,95,4,Medium
42,Electricity Outage,Power cut in area,Hazaribagh,64,3,High
43,Pothole,Road broken badly,Hazaribagh,42,1,High
44,Pothole,Big pothole on road,Dhanbad,14,0,High
45,Water Leakage,Pipeline burst,Deoghar,5,2,Medium
46,Garbage Dump,kachra bahut hai,Giridih,45,4,High
47,Water Leakage,leakage of pani,Dhanbad,52,0,High
48,Streetlight Not Working,Streetlight issue,Jamshedpur,34,1,Medium
49,Public Toilet Issue,Public toilet problem,Bokaro,44,2,Low
50,Garbage Dump,ganda kachra near market,Deoghar,98,2,High
51,Pothole,pothol road broken hai,Dhanbad,14,2,Low
52,Drainage Blockage,dirty water overflow,Jamshedpur,55,4,Medium
53,Pothole,pothol road broken hai,Bokaro,66,4,High
54,Noise Pollution,Noise disturbing area,Jamshedpur,40,5,High
55,Electricity Outage,power outage,Bokaro,70,1,High
56,Water Leakage,pipe se pani nikal raha hai,Hazaribagh,78,4,High
57,Illegal Parking,Blocking road,Deoghar,100,4,High
58,Water Leakage,leakage of pani,Hazaribagh,84,0,High
59,Electricity Outage,Power cut in area,Dhanbad,28,1,High
60,Garbage Dump,ganda kachra near market,Bokaro,58,3,Medium
61,Pothole,Road broken badly,Giridih,96,0,Medium
62,Pothole,khadda on street,Jamshedpur,71,1,Medium
63,Road Damage,bad road condition,Chaibasa,76,2,Medium
64,Public Toilet Issue,smelly toilet,Bokaro,57,2,High
65,Electricity Outage,Bijli chali gayi,Hazaribagh,56,0,High
66,Water Leakage,Water leakage near colony,Giridih,19,1,High
67,Road Damage,Sadak kharab hai,Ranchi,59,3,Medium
68,Pothole,khadda on street,Giridih,97,4,Medium
69,Illegal Parking,Blocking road,Bokaro,68,5,Medium
70,Illegal Parking,no parking followed,Chaibasa,92,1,Medium
71,Noise Pollution,Loud noise,Ranchi,72,5,Medium
72,Pothole,Road broken badly,Deoghar,33,3,High
73,Electricity Outage,Power cut in area,Hazaribagh,96,3,High
74,Drainage Blockage,Drain blocked,Jamshedpur,28,5,High
75,Pothole,Road broken badly,Bokaro,79,1,High
76,Public Toilet Issue,Public toilet problem,Deoghar,89,2,High
77,Water Leakage,leakage of pani,Ranchi,39,0,High
78,Streetlight Not Working,Light not working,Bokaro,9,4,High
79,Garbage Dump,ganda kachra near market,Deoghar,72,0,High
80,Pothole,khadda on street,Jamshedpur,53,3,High
81,Water Leakage,pipe se pani nikal raha hai,Hazaribagh,55,1,High
82,Drainage Blockage,dirty water overflow,Hazaribagh,31,0,High
83,Illegal Parking,illegal gaadi parking,Chaibasa,43,0,Medium
84,Drainage Blockage,Drain blocked,Hazaribagh,35,4,High
85,Illegal Parking,Blocking road,Bokaro,62,4,Medium
86,Garbage Dump,kachra bahut hai,Giridih,37,1,Low
87,Road Damage,road crack,Deoghar,44,3,Medium
88,Garbage Dump,Overflowing garbage,Deoghar,92,1,High
89,Streetlight Not Working,bulb kharab,Chaibasa,27,5,High
90,Electricity Outage,Bijli chali gayi,Hazaribagh,12,1,High
91,Water Leakage,leakage of pani,Ranchi,35,0,High
92,Public Toilet Issue,toilet band hai,Hazaribagh,13,0,Low
93,Electricity Outage,power outage,Jamshedpur,61,0,High
94,Water Leakage,Pipeline burst,Hazaribagh,19,4,High
95,Noise Pollution,high sound pollution,Bokaro,76,4,High
96,Illegal Parking,Cars parked illegally,Ranchi,39,4,Medium
97,Garbage Dump,Overflowing garbage,Dhanbad,20,1,Low
98,Public Toilet Issue,smelly toilet,Bokaro,37,0,Medium
99,Streetlight Not Working,Streetlight issue,Bokaro,33,5,Medium
100,Electricity Outage,Bijli chali gayi,Ranchi,18,0,Medium
101,Electricity Outage,No electricity since morning,Chaibasa,56,0,High
102,Public Toilet Issue,toilet band hai,Ranchi,56,0,Low
103,Noise Pollution,Loud noise,Hazaribagh,75,0,Medium
104,Public Toilet Issue,toilet band hai,Giridih,35,1,Medium
105,Drainage Blockage,Drainage issue,Dhanbad,85,0,High
106,Illegal Parking,Blocking road,Ranchi,97,4,High
107,Illegal Parking,Blocking road,Chaibasa,65,0,High
108,Public Toilet Issue,Public toilet problem,Ranchi,80,3,Medium
109,Public Toilet Issue,Public toilet problem,Bokaro,15,0,Medium
110,Streetlight Not Working,Street dark at night,Jamshedpur,14,3,Medium
111,Electricity Outage,Bijli chali gayi,Chaibasa,53,3,High
112,Noise Pollution,Loud noise,Dhanbad,65,5,High
113,Road Damage,road crack,Hazaribagh,34,0,Low
114,Water Leakage,leakage of pani,Chaibasa,57,4,High
115,Drainage Blockage,dirty water overflow,Bokaro,24,5,High
116,Public Toilet Issue,Public toilet problem,Giridih,90,3,High
117,Noise Pollution,Loud noise,Chaibasa,42,0,Medium
118,Illegal Parking,Blocking road,Jamshedpur,83,1,Medium
119,Illegal Parking,Blocking road,Deoghar,83,0,Medium
120,Public Toilet Issue,Public toilet problem,Jamshedpur,69,0,High
121,Garbage Dump,ganda kachra near market,Jamshedpur,55,0,Medium
122,Pothole,khadda on street,Deoghar,37,2,Low
123,Water Leakage,pipe se pani nikal raha hai,Jamshedpur,21,1,High
124,Water Leakage,pipe se pani nikal raha hai,Hazaribagh,29,3,High
125,Electricity Outage,Power cut in area,Dhanbad,86,4,High
126,Illegal Parking,illegal gaadi parking,Chaibasa,88,2,High
127,Streetlight Not Working,bulb kharab,Deoghar,48,4,High
128,Illegal Parking,Blocking road,Ranchi,35,0,Low
129,Streetlight Not Working,Street dark at night,Bokaro,77,2,High
130,Water Leakage,leakage of pani,Ranchi,80,0,High
131,Water Leakage,pipe se pani nikal raha hai,Deoghar,11,2,High
132,Drainage Blockage,Nali jam hai,Hazaribagh,67,4,High
133,Electricity Outage,power outage,Jamshedpur,95,2,High
134,Illegal Parking,Blocking road,Jamshedpur,71,2,High
135,Electricity Outage,Power cut in area,Deoghar,74,3,High
136,Road Damage,Road damaged,Bokaro,41,4,Medium
137,Illegal Parking,Cars parked illegally,Ranchi,14,1,Medium
138,Road Damage,road crack,Chaibasa,17,3,Medium
139,Illegal Parking,Blocking road,Dhanbad,75,5,Medium
140,Electricity Outage,Bijli chali gayi,Deoghar,4,5,High
141,Garbage Dump,Overflowing garbage,Deoghar,87,2,Medium
142,Public Toilet Issue,Toilet unclean,Bokaro,11,5,Medium
143,Noise Pollution,DJ loud hai,Bokaro,26,0,Low
144,Noise Pollution,DJ loud hai,Dhanbad,0,2,Medium
145,Pothole,Road broken badly,Deoghar,16,0,High
146,Water Leakage,Pipeline burst,Jamshedpur,94,3,High
147,Garbage Dump,Overflowing garbage,Bokaro,57,4,High
148,Electricity Outage,Power cut in area,Ranchi,58,5,High
149,Garbage Dump,Overflowing garbage,Chaibasa,62,5,High
150,Water Leakage,pipe se pani nikal raha hai,Deoghar,35,4,High
151,Noise Pollution,DJ loud hai,Jamshedpur,55,0,High
152,Public Toilet Issue,smelly toilet,Jamshedpur,51,3,Medium
153,Water Leakage,Pipeline burst,Jamshedpur,87,3,High
154,Drainage Blockage,Drainage issue,Ranchi,16,4,High
155,Illegal Parking,illegal gaadi parking,Hazaribagh,92,0,High
156,Public Toilet Issue,smelly toilet,Deoghar,28,0,Low
157,Illegal Parking,illegal gaadi parking,Ranchi,71,4,High
158,Drainage Blockage,Nali jam hai,Dhanbad,44,0,High
159,Pothole,khadda on street,Bokaro,11,5,High
160,Drainage Blockage,Drain blocked,Jamshedpur,99,4,Low
161,Electricity Outage,power outage,Giridih,56,5,High
162,Road Damage,Road damaged,Giridih,14,2,Medium
163,Electricity Outage,Power cut in area,Giridih,5,1,High
164,Water Leakage,leakage of pani,Hazaribagh,97,2,High
165,Water Leakage,leakage of pani,Bokaro,48,4,Low
166,Public Toilet Issue,toilet band hai,Giridih,9,2,Medium
167,Pothole,pothol road broken hai,Chaibasa,41,1,Low
168,Noise Pollution,high sound pollution,Jamshedpur,51,4,Medium
169,Water Leakage,Water leakage near colony,Jamshedpur,9,4,High
170,Water Leakage,leakage of pani,Dhanbad,30,0,High
171,Garbage Dump,ganda kachra near market,Chaibasa,22,5,High
172,Noise Pollution,Noise disturbing area,Deoghar,82,5,High
173,Electricity Outage,No electricity since morning,Ranchi,35,4,High
174,Pothole,Big pothole on road,Jamshedpur,47,2,Medium
175,Road Damage,Sadak kharab hai,Chaibasa,94,0,High
176,Pothole,Big pothole on road,Deoghar,57,0,High
177,Public Toilet Issue,smelly toilet,Dhanbad,56,4,Medium
178,Drainage Blockage,Drainage issue,Ranchi,86,4,High
179,Electricity Outage,No electricity since morning,Dhanbad,32,5,High
180,Electricity Outage,Bijli chali gayi,Giridih,83,5,High
181,Illegal Parking,Cars parked illegally,Dhanbad,82,2,Medium
182,Drainage Blockage,Drainage issue,Bokaro,39,1,Medium
183,Water Leakage,Pipeline burst,Hazaribagh,19,0,High
184,Road Damage,Sadak kharab hai,Deoghar,4,5,High
185,Noise Pollution,Loud noise,Chaibasa,21,5,High
186,Public Toilet Issue,Public toilet problem,Chaibasa,78,2,High
187,Public Toilet Issue,toilet band hai,Chaibasa,24,2,Medium
188,Illegal Parking,illegal gaadi parking,Dhanbad,20,1,Medium
189,Garbage Dump,Garbage not collected,Jamshedpur,91,4,Medium
190,Road Damage,Sadak kharab hai,Jamshedpur,18,3,Medium
191,Illegal Parking,no parking followed,Deoghar,6,3,High
192,Drainage Blockage,Nali jam hai,Deoghar,12,5,High
193,Water Leakage,pipe se pani nikal raha hai,Chaibasa,97,5,Low
194,Water Leakage,Pipeline burst,Giridih,70,5,High
195,Streetlight Not Working,Light not working,Chaibasa,53,5,Medium
196,Pothole,Road broken badly,Bokaro,80,4,High
197,Noise Pollution,Noise disturbing area,Jamshedpur,53,1,High
198,Road Damage,bad road condition,Giridih,70,0,High
199,Pothole,Road broken badly,Deoghar,45,0,High
200,Drainage Blockage,Drainage issue,Deoghar,17,0,Medium
201,Public Toilet Issue,Public toilet problem,Dhanbad,89,3,Medium
202,Electricity Outage,Power cut in area,Bokaro,25,0,High
203,Road Damage,Sadak kharab hai,Ranchi,60,2,High
204,Drainage Blockage,dirty water overflow,Deoghar,34,0,Medium
205,Illegal Parking,Blocking road,Chaibasa,43,1,Medium
206,Garbage Dump,ganda kachra near market,Jamshedpur,93,3,High
207,Drainage Blockage,Drainage issue,Deoghar,13,0,High
208,Public Toilet Issue,smelly toilet,Ranchi,44,3,High
209,Pothole,pothol road broken hai,Giridih,9,5,High
210,Pothole,Big pothole on road,Chaibasa,18,4,Medium
211,Drainage Blockage,Nali jam hai,Ranchi,49,4,High
212,Garbage Dump,ganda kachra near market,Deoghar,73,1,Medium
213,Pothole,khadda on street,Chaibasa,94,1,High
214,Public Toilet Issue,toilet band hai,Hazaribagh,27,4,Medium
215,Water Leakage,leakage of pani,Jamshedpur,91,3,High
216,Electricity Outage,No electricity since morning,Dhanbad,38,1,High
217,Water Leakage,leakage of pani,Ranchi,30,3,High
218,Road Damage,Road damaged,Jamshedpur,16,4,High
219,Road Damage,Sadak kharab hai,Jamshedpur,52,3,Medium
220,Road Damage,Sadak kharab hai,Dhanbad,44,1,Medium
221,Garbage Dump,kachra bahut hai,Hazaribagh,66,1,Medium
222,Road Damage,Sadak kharab hai,Hazaribagh,36,0,Low
223,Electricity Outage,Bijli chali gayi,Jamshedpur,78,4,High
224,Noise Pollution,Loud noise,Deoghar,92,4,High
225,Noise Pollution,high sound pollution,Bokaro,33,5,High
226,Road Damage,bad road condition,Hazaribagh,37,5,High
227,Public Toilet Issue,Public toilet problem,Ranchi,9,5,Medium
228,Noise Pollution,Noise disturbing area,Deoghar,18,2,Low
229,Road Damage,bad road condition,Bokaro,13,2,Medium
230,Pothole,Road broken badly,Giridih,37,3,High
231,Noise Pollution,DJ loud hai,Bokaro,92,2,High
232,Electricity Outage,power outage,Jamshedpur,63,0,High
233,Drainage Blockage,dirty water overflow,Hazaribagh,6,0,High
234,Electricity Outage,power outage,Jamshedpur,68,0,High
235,Illegal Parking,Cars parked illegally,Giridih,46,0,Medium
236,Garbage Dump,Garbage not collected,Chaibasa,49,4,High
237,Water Leakage,leakage of pani,Deoghar,12,3,High
238,Noise Pollution,Loud noise,Ranchi,65,3,High
239,Road Damage,road crack,Dhanbad,58,1,Medium
240,Noise Pollution,high sound pollution,Deoghar,94,2,Medium
241,Drainage Blockage,dirty water overflow,Jamshedpur,42,5,High
242,Pothole,Road broken badly,Hazaribagh,76,3,High
243,Noise Pollution,DJ loud hai,Dhanbad,99,3,High
244,Pothole,Road broken badly,Giridih,56,2,High
245,Noise Pollution,DJ loud hai,Ranchi,60,5,High
246,Public Toilet Issue,Public toilet problem,Deoghar,67,3,Medium
247,Electricity Outage,Bijli chali gayi,Bokaro,78,3,High
248,Electricity Outage,power outage,Bokaro,98,2,High
249,Electricity Outage,power outage,Giridih,36,0,Medium
250,Electricity Outage,No electricity since morning,Jamshedpur,5,2,Medium
251,Streetlight Not Working,bulb kharab,Hazaribagh,25,4,Medium
252,Streetlight Not Working,Street dark at night,Bokaro,6,5,Medium
253,Garbage Dump,kachra bahut hai,Ranchi,87,1,Medium
254,Public Toilet Issue,smelly toilet,Hazaribagh,83,1,High
255,Noise Pollution,DJ loud hai,Ranchi,29,4,High
256,Pothole,pothol road broken hai,Dhanbad,50,3,High
257,Garbage Dump,ganda kachra near market,Chaibasa,42,2,Medium
258,Electricity Outage,Bijli chali gayi,Deoghar,24,0,Medium
259,Pothole,Road broken badly,Hazaribagh,94,2,Medium
260,Illegal Parking,Blocking road,Jamshedpur,65,2,Medium
261,Drainage Blockage,dirty water overflow,Hazaribagh,31,0,High
262,Electricity Outage,No electricity since morning,Ranchi,74,5,High
263,Garbage Dump,ganda kachra near market,Dhanbad,59,2,High
264,Electricity Outage,No electricity since morning,Hazaribagh,88,0,High
265,Water Leakage,pipe se pani nikal raha hai,Deoghar,58,5,High
266,Streetlight Not Working,Streetlight issue,Jamshedpur,97,1,High
267,Garbage Dump,kachra bahut hai,Bokaro,7,4,Medium
268,Streetlight Not Working,Light not working,Chaibasa,91,4,High
269,Water Leakage,Pipeline burst,Chaibasa,65,3,High
270,Pothole,Road broken badly,Ranchi,50,2,High
271,Garbage Dump,ganda kachra near market,Jamshedpur,69,0,Medium
272,Illegal Parking,Blocking road,Chaibasa,47,3,High
273,Road Damage,Road damaged,Deoghar,17,5,High
274,Streetlight Not Working,Streetlight issue,Hazaribagh,0,0,Medium
275,Streetlight Not Working,Street dark at night,Deoghar,31,3,Medium
276,Garbage Dump,Overflowing garbage,Giridih,4,5,High
277,Public Toilet Issue,Public toilet problem,Ranchi,76,5,High
278,Streetlight Not Working,bulb kharab,Dhanbad,96,0,Medium
279,Noise Pollution,DJ loud hai,Deoghar,76,5,High
280,Streetlight Not Working,Light not working,Hazaribagh,52,2,High
281,Water Leakage,pipe se pani nikal raha hai,Giridih,80,5,High
282,Illegal Parking,Blocking road,Deoghar,100,4,High
283,Road Damage,road crack,Bokaro,60,1,Medium
284,Pothole,Road broken badly,Giridih,71,3,High
285,Garbage Dump,kachra bahut hai,Jamshedpur,57,2,Medium
286,Pothole,khadda on street,Bokaro,9,1,Low
287,Pothole,khadda on street,Jamshedpur,27,1,High
288,Illegal Parking,illegal gaadi parking,Deoghar,30,4,High
289,Electricity Outage,power outage,Chaibasa,46,4,High
290,Drainage Blockage,dirty water overflow,Deoghar,26,2,High
291,Pothole,pothol road broken hai,Giridih,33,4,Medium
292,Streetlight Not Working,bulb kharab,Deoghar,63,4,High
293,Public Toilet Issue,Public toilet problem,Deoghar,58,1,Medium
294,Road Damage,Road damaged,Ranchi,82,0,Medium
295,Illegal Parking,Cars parked illegally,Bokaro,17,5,High
296,Drainage Blockage,dirty water overflow,Chaibasa,7,4,High
297,Pothole,pothol road broken hai,Hazaribagh,67,5,Medium
298,Water Leakage,Water leakage near colony,Dhanbad,13,0,High
299,Electricity Outage,power outage,Deoghar,50,0,High
300,Electricity Outage,Power cut in area,Ranchi,87,0,High
301,Pothole,khadda on street,Jamshedpur,89,1,High
302,Garbage Dump,kachra bahut hai,Bokaro,67,0,High
303,Electricity Outage,Power cut in area,Hazaribagh,5,0,Low
304,Noise Pollution,Loud noise,Giridih,18,5,High
305,Illegal Parking,Blocking road,Deoghar,86,4,Medium
306,Garbage Dump,Overflowing garbage,Deoghar,64,5,Medium
307,Noise Pollution,Noise disturbing area,Giridih,98,4,High
308,Public Toilet Issue,toilet band hai,Giridih,29,2,Low
309,Noise Pollution,Loud noise,Jamshedpur,37,1,Medium
310,Water Leakage,leakage of pani,Deoghar,94,3,High
311,Drainage Blockage,Nali jam hai,Jamshedpur,97,2,High
312,Road Damage,Road damaged,Ranchi,52,0,High
313,Drainage Blockage,dirty water overflow,Hazaribagh,49,0,High
314,Streetlight Not Working,Streetlight issue,Dhanbad,73,4,Medium
315,Water Leakage,leakage of pani,Giridih,8,1,High
316,Electricity Outage,Bijli chali gayi,Chaibasa,31,5,Medium
317,Drainage Blockage,dirty water overflow,Deoghar,79,3,High
318,Noise Pollution,DJ loud hai,Deoghar,17,2,Medium
319,Drainage Blockage,Nali jam hai,Chaibasa,37,5,High
320,Drainage Blockage,Nali jam hai,Bokaro,14,4,High
321,Public Toilet Issue,smelly toilet,Chaibasa,90,1,High
322,Illegal Parking,illegal gaadi parking,Dhanbad,86,3,High
323,Illegal Parking,Blocking road,Chaibasa,9,3,High
324,Illegal Parking,Cars parked illegally,Deoghar,69,0,High
325,Water Leakage,pipe se pani nikal raha hai,Ranchi,82,4,High
326,Garbage Dump,kachra bahut hai,Hazaribagh,1,0,Low
327,Noise Pollution,high sound pollution,Deoghar,28,3,High
328,Water Leakage,Pipeline burst,Chaibasa,44,0,High
329,Water Leakage,pipe se pani nikal raha hai,Deoghar,44,2,Medium
330,Garbage Dump,Garbage not collected,Chaibasa,56,5,High
331,Pothole,Road broken badly,Jamshedpur,43,5,High
332,Road Damage,bad road condition,Giridih,20,2,Medium
333,Illegal Parking,Blocking road,Bokaro,50,0,Medium
334,Streetlight Not Working,Light not working,Jamshedpur,35,5,High
335,Streetlight Not Working,Streetlight issue,Hazaribagh,58,0,High
336,Noise Pollution,Noise disturbing area,Jamshedpur,50,4,High
337,Electricity Outage,Bijli chali gayi,Jamshedpur,78,4,High
338,Drainage Blockage,dirty water overflow,Giridih,88,1,High
339,Public Toilet Issue,Public toilet problem,Dhanbad,81,4,Medium
340,Public Toilet Issue,Toilet unclean,Deoghar,79,0,Medium
341,Road Damage,bad road condition,Chaibasa,64,5,Medium
342,Public Toilet Issue,Public toilet problem,Ranchi,21,0,Low
343,Water Leakage,Pipeline burst,Chaibasa,99,3,High
344,Drainage Blockage,Nali jam hai,Chaibasa,69,0,High
345,Streetlight Not Working,bulb kharab,Chaibasa,38,0,Low
346,Garbage Dump,Garbage not collected,Bokaro,99,1,High
347,Noise Pollution,Loud noise,Bokaro,17,1,Medium
348,Water Leakage,leakage of pani,Hazaribagh,41,5,High
349,Garbage Dump,Garbage not collected,Ranchi,17,3,High
350,Streetlight Not Working,Street dark at night,Deoghar,18,5,High
351,Noise Pollution,high sound pollution,Giridih,80,2,High
352,Garbage Dump,Garbage not collected,Hazaribagh,51,4,Medium
353,Garbage Dump,Overflowing garbage,Deoghar,93,3,High
354,Streetlight Not Working,bulb kharab,Deoghar,63,2,Medium
355,Public Toilet Issue,Toilet unclean,Ranchi,100,2,Medium
356,Garbage Dump,Overflowing garbage,Chaibasa,20,3,High
357,Water Leakage,leakage of pani,Dhanbad,83,2,High
358,Water Leakage,Water leakage near colony,Hazaribagh,6,3,High
359,Streetlight Not Working,Street dark at night,Dhanbad,61,0,Medium
360,Garbage Dump,ganda kachra near market,Dhanbad,54,5,Medium
361,Garbage Dump,Garbage not collected,Deoghar,13,2,Low
362,Water Leakage,Pipeline burst,Dhanbad,82,5,High
363,Public Toilet Issue,Public toilet problem,Bokaro,44,5,High
364,Streetlight Not Working,Light not working,Dhanbad,11,0,Medium
365,Drainage Blockage,Drain blocked,Hazaribagh,17,1,High
366,Electricity Outage,No electricity since morning,Ranchi,99,5,High
367,Illegal Parking,no parking followed,Ranchi,37,5,High
368,Noise Pollution,Noise disturbing area,Ranchi,9,4,Medium
369,Noise Pollution,high sound pollution,Dhanbad,53,2,Low
370,Pothole,Big pothole on road,Ranchi,33,1,High
371,Road Damage,bad road condition,Giridih,98,3,High
372,Electricity Outage,Bijli chali gayi,Jamshedpur,10,2,Medium
373,Noise Pollution,Noise disturbing area,Jamshedpur,81,5,Medium
374,Pothole,Big pothole on road,Giridih,31,0,Medium
375,Water Leakage,Pipeline burst,Dhanbad,15,0,High
376,Electricity Outage,No electricity since morning,Dhanbad,21,2,Medium
377,Drainage Blockage,Drainage issue,Jamshedpur,54,2,High
378,Public Toilet Issue,toilet band hai,Ranchi,65,2,High
379,Garbage Dump,kachra bahut hai,Jamshedpur,73,5,High
380,Pothole,pothol road broken hai,Chaibasa,31,0,Medium
381,Pothole,Road broken badly,Giridih,70,5,High
382,Electricity Outage,Power cut in area,Deoghar,9,4,High
383,Road Damage,bad road condition,Jamshedpur,5,3,Medium
384,Garbage Dump,Garbage not collected,Ranchi,70,3,Medium
385,Noise Pollution,high sound pollution,Deoghar,31,3,Medium
386,Road Damage,Road damaged,Dhanbad,97,1,High
387,Pothole,pothol road broken hai,Giridih,42,0,Low
388,Public Toilet Issue,Toilet unclean,Hazaribagh,7,1,Low
389,Illegal Parking,Cars parked illegally,Chaibasa,89,2,High
390,Illegal Parking,Blocking road,Ranchi,9,4,Medium
391,Drainage Blockage,Drainage issue,Deoghar,50,5,High
392,Water Leakage,Water leakage near colony,Jamshedpur,99,4,High
393,Garbage Dump,ganda kachra near market,Bokaro,68,2,Medium
394,Water Leakage,Water leakage near colony,Ranchi,87,2,High
395,Streetlight Not Working,bulb kharab,Ranchi,45,3,Medium
396,Public Toilet Issue,Toilet unclean,Bokaro,71,5,Medium
397,Pothole,Road broken badly,Dhanbad,7,1,High
398,Garbage Dump,Overflowing garbage,Hazaribagh,74,4,High
399,Public Toilet Issue,Toilet unclean,Deoghar,16,0,Low
400,Noise Pollution,high sound pollution,Giridih,55,5,High
401,Streetlight Not Working,Streetlight issue,Hazaribagh,23,2,High
402,Streetlight Not Working,Streetlight issue,Chaibasa,82,2,High
403,Illegal Parking,no parking followed,Bokaro,17,3,Medium
404,Illegal Parking,Blocking road,Deoghar,100,5,High
405,Road Damage,Sadak kharab hai,Hazaribagh,41,3,Medium
406,Pothole,Road broken badly,Deoghar,60,4,High
407,Electricity Outage,Bijli chali gayi,Ranchi,68,5,High
408,Water Leakage,leakage of pani,Deoghar,22,1,High
409,Noise Pollution,high sound pollution,Bokaro,72,1,Low
410,Streetlight Not Working,Streetlight issue,Ranchi,77,1,Medium
411,Water Leakage,leakage of pani,Dhanbad,43,5,High
412,Water Leakage,Pipeline burst,Deoghar,99,0,High
413,Garbage Dump,kachra bahut hai,Deoghar,43,2,Medium
414,Public Toilet Issue,smelly toilet,Dhanbad,83,2,Medium
415,Electricity Outage,Bijli chali gayi,Hazaribagh,93,5,High
416,Noise Pollution,DJ loud hai,Ranchi,50,4,Medium
417,Streetlight Not Working,Streetlight issue,Jamshedpur,81,4,Medium
418,Drainage Blockage,Drainage issue,Jamshedpur,21,5,High
419,Garbage Dump,Overflowing garbage,Jamshedpur,44,2,Low
420,Water Leakage,leakage of pani,Giridih,52,3,High
421,Noise Pollution,DJ loud hai,Bokaro,83,5,Low
422,Drainage Blockage,Drainage issue,Jamshedpur,33,0,High
423,Road Damage,Road damaged,Chaibasa,11,2,Medium
424,Illegal Parking,illegal gaadi parking,Jamshedpur,20,0,Medium
425,Road Damage,road crack,Hazaribagh,33,5,High
426,Public Toilet Issue,Toilet unclean,Deoghar,19,0,Low
427,Noise Pollution,Loud noise,Jamshedpur,61,1,High
428,Public Toilet Issue,toilet band hai,Giridih,14,2,Low
429,Road Damage,bad road condition,Deoghar,49,1,Medium
430,Public Toilet Issue,Toilet unclean,Hazaribagh,33,1,Low
431,Drainage Blockage,Drain blocked,Bokaro,69,3,High
432,Road Damage,bad road condition,Bokaro,87,3,High
433,Pothole,Big pothole on road,Dhanbad,64,4,High
434,Water Leakage,Pipeline burst,Dhanbad,27,1,High
435,Water Leakage,Pipeline burst,Deoghar,76,2,High
436,Electricity Outage,power outage,Ranchi,66,3,High
437,Noise Pollution,Loud noise,Jamshedpur,97,0,Medium
438,Illegal Parking,Blocking road,Chaibasa,33,3,High
439,Noise Pollution,Loud noise,Giridih,87,5,High
440,Pothole,pothol road broken hai,Hazaribagh,95,3,Medium
441,Electricity Outage,Bijli chali gayi,Jamshedpur,62,5,High
442,Drainage Blockage,Drain blocked,Giridih,34,5,High
443,Public Toilet Issue,Toilet unclean,Deoghar,97,4,High
444,Road Damage,Sadak kharab hai,Ranchi,51,1,High
445,Streetlight Not Working,bulb kharab,Ranchi,4,3,High
446,Road Damage,Road damaged,Jamshedpur,50,5,High
447,Public Toilet Issue,smelly toilet,Deoghar,75,4,Medium
448,Garbage Dump,Overflowing garbage,Giridih,36,0,Low
449,Streetlight Not Working,bulb kharab,Bokaro,82,1,High
450,Pothole,Big pothole on road,Dhanbad,60,1,Medium
451,Electricity Outage,power outage,Deoghar,54,3,High
452,Noise Pollution,Loud noise,Jamshedpur,50,4,High
